dataset_id	first_author	year	paper_doi	n_participants	n_time_points	n_days	n_beeps_per_day	sampling_scheme	participants	topics	link_to_codebook	model_original	variables_original	include	lag_mode	notes	coding_done
1	Fried	2021	https://doi.org/10.1177/21677026211017839	80	56	14	4	4x/day fixed schedule	student sample	mental health, social contact, COVID	https://osf.io/mx87b	mlVAR	difficulties_relaxing, irritable, worry, nervous, nothing_look_forward, anhedonia, tired, alone,  social_offline, social_online, time_outdoors, covid_occupied, covid_worry, time_home	yes	within_day		yes
2	Nestler	2022	https://doi.org/10.1007/s11336-021-09787-w	85	82	82	1	1x/day unclear schedule	unclear	personality, affect, motivation	https://osf.io/wjysp/?view_only=cb2bf9adeef14eb488d228ffe2141699	mixed effects	nervous, sociable, creative, friendly, organised, self-esteem, weekday, temp, rain	modify	daily	they only used a single equation with nervous as the outcome and used a mixed-effects location scale model for estimation. We probably need to remove the exogeneous, non-psychological variables	yes
3	Hawks	2023	https://doi.org/10.1016/j.bpsc.2022.12.002	122	30	10	3	3x/day fixed time windows	adults	momentary cognition, context, stress	https://pmc.ncbi.nlm.nih.gov/articles/instance/10264553/bin/NIHMS1858073-supplement-1.pdf	mixed effects		no		they used data-driven random-intercept models for different outcomes and selected predictors via cross-validation, does not really suit our purpose well	yes
4	Wang	2014	https://doi.org/10.1371/journal.pone.0266516	49	64	64	1	irregular	undergraduate students	students, mental health, academic performance, stress, activity	https://studentlife.cs.dartmouth.edu/dataset.html	gradient boosting trees		no		used Adler et al. (2022) as reference. They used a lot of passive sensing features, not ideal for VAR	yes
5	Wang	2016	https://doi.org/10.1371/journal.pone.0266516	62	165	165	1	1x/day on Monday, Wednesday, Friday	adults with diagnosis of schizophrenia, schizoaffective disorder, or psychosis	schizophrenia, passive sensing, mood	https://pbh.tech.cornell.edu/data.html	gradient boosting trees		no		used Adler et al. (2022) as reference. They used a lot of passive sensing features, not ideal for VAR	yes
6	Rowland	2020	https://doi.org/10.1007/s12671-020-01335-4	125	240	40	6	6x/day random timing	undergraduate students	mindfulness, affect, network	https://osf.io/5t4yg	graphicalVAR	happy, excited, relaxed, satisfied, angry, anxious, depressed, sad	yes			yes
8	Westhoff	2024	https://doi.org/10.1038/s41598-024-58598-3	114	105	21	5	5x/day semi-random schedule	young adults	psychological flexibility, cognition, affect	-	mlVAR	negative_affect_behavior, positive_affect_behavior, negative_cognition_behavior, positive_cognition_behavior, negative_change_behavior, positive_change_behavior	yes			yes
10	Geschwind	2013	https://doi.org/10.1371/journal.pone.0060188	130	200	20	10	10x/day 90-minute interval	individuals with residual depressive symptoms	depression, neuroticism, mood	-	mlVAR	cheerful, pleasantness, worried, fearful, sad, relaxed	yes		used Bringmann et al. (2013) as reference	yes
11	Kuppens	2016	https://doi.org/10.1177/1073191116645909	95	70	7	10	10x/day random 90-minute intervals	undergraduate students	neuroticism, affect, emotion	-	mlVAR	angry, depressed, sad, anxious, relaxed, happy	yes		used Bringmann et al. (2016) as reference	yes
12	Dejonckheere	2019	https://doi.org/10.1080/02699931.2018.1524747	100	98	14	7	7x/day stratified random interval scheme	community sample	rumination, depression, emotion regulation, affect	https://osf.io/487eg	correlation		unclear		they calculated sum scores for PA and NA, then estimated their correlation, and then used this correlation as an outcome ion a mediation model. As such, they believe these affect items to be related at the momentary level, which means that we could use them	yes
13	Hoebeke	2022	https://doi.org/10.36131/cnfioritieditore20220504	40	56	14	4	4x/day time-contingent equidistant intervals	community sample	rumination, depression, anxiety	https://osf.io/wj6xn	correlation		unclear		they simply correlated ESM items (and trait scores)	yes
14	Habets	2020	https://doi.org/10.2196/15628	20	98	14	7	7x/day semi-random	patients with Parkinson disease	Parkinson, affect, motor symptoms, context	https://dataverse.nl/file.xhtml?fileId=36289&version=2.0	correlation		unclear		they simply correlated ESM items (and trait scores)	yes
15	Flueckiger	2014	https://doi.org/10.1371/journal.pone.0111080	72	32	32	1	1x/day at 5pm	first-year psychology students	health behavior, depression, academic performance, affect	https://doi.org/10.7910/DVN/27388/U8IPJZ	DSEM	sleep_quality, physical_activity, pa, na, learning_goal_achievement	unclear		they used fixed-slopes multilevel SEM to test a mediation hypothesis with a predictor-mediator-outcome triplet. They also included a temporal linear, quadratic, and cubic term in the model, and they used some transformation for activity and negative affect	yes
17	Jang	2024	https://doi.org/10.1038/s41597-024-04147-6	43	402	402	1	1x/day in the evening	patients diagnosed with mood disorders, anxiety disorders, trauma and stressor-related disorders, and obsessive-compulsive and related disorder	panic symptoms, digital phenotyping, behavior	https://static-content.springer.com/esm/art%3A10.1038%2Fs41597-024-04147-6/MediaObjects/41597_2024_4147_MOESM1_ESM.pdf	machine learning		no		used many features and passive sensing variables	yes
18	Bailon	2020	https://doi.org/10.1038/s41597-020-00700-1	999	444	86	6	6x/day pseudo-random one-hour intervals	community sample	COVID, affect, pandemic, valence, arousal, context	https://zenodo.org/records/4024141	descriptives		no			yes
19	Söderberg	2024	https://doi.org/10.12688/f1000research.157148.1	302	40	10	4	4x/day fixed and random sampling	middle and secondary school students	schooling, relationships, self-efficacy, emotions, sleep	https://zenodo.org/records/13332148	reliability		no			yes
21	Gundogdu	2017	https://doi.org/10.1098/rsos.170194	54	90	30	3	3x/day fixed schedule	employees of research center	social interactions, personality states, personality	https://datadryad.org/stash/dataset/doi:10.5061/dryad.b88c7#usage	mixed effects		unclear		"they use graphlet-based social interaction features, and then use these to ""predict"" within-day personality state transitions"	yes
22	Menghini	2023	https://doi.org/10.1027/1015-5759/a000725	139	21	3	7	7x/day random schedule	full-time office workers	workplace stress, mood	https://osf.io/87a9p/files/osfstorage	mlCFA		no			yes
23	Dora	2024	https://doi.org/10.31234/osf.io/jc938	213	63	22	3 or 5	3x/day or 5x/day unclear schedule	undergraduate students	alcohol, self-control demands, intoxication, substance use	https://osf.io/zy639	mixed effects		unclear		they fit a generalized mixed effects model to the data, as they do not expect a linear model to fit the data well	yes
24	Hasselhorn	2021	https://doi.org/10.3758/s13428-021-01683-6	313	84	14	3 or 9	9x/day or 3x/day subject-specific schedule	university students	sampling frequency, affect, compliance, extraversion, perceived burden	https://osf.io/ze9wn	mixed effects		no		they used (latent) multilevel models to model differences in burden/compliance and in within-person variability across groups	yes
25	Hasselhorn	2021	https://doi.org/10.3758/s13428-021-01683-6	282	42	14	3	3x/day fixed schedule	university students	questionnaire length, affect, extraversion, perceived burden	https://osf.io/23db5?view_only=6e6bf509c6374759b56faac680c55825			no		they used (latent) multilevel models to model differences in burden/compliance and in within-person variability across groups	yes
26	Fernández	2025	https://doi.org/10.31234/osf.io/uj6df	225	50	10	5	5x/day semi-random signal contingent	young adults (18-25)	well-being, smartphone usage, social media	https://osf.io/w3vp5	mixed effects	affect, loneliness, all_smartphone_pre	unclear		they used separate multilevel models where they predicted self-report with smartphone usage and gender	yes
27	Pavani	2017	https://doi.org/10.1002/per.2109	78	70	14	5	5x/day fixed-schedule with personalization	non-clinical individuals	affect regulation, affect, personality	https://osf.io/u95vg	mlVAR	pa, na, appreciation, reappraisal, distraction, suppression, rumination	yes			yes
28	Contreras	2020	https://doi.org/10.3389/fpsyg.2020.544565	23	70	7	10	10x/day stratified sampling	participants with above-average paranoid ideation and/or interpersonal sensitivity	paranoia, sadness, closeness to others, avoidance	https://osf.io/bkn3y	mlVAR	sad, no_trust, others, avoid, manage_well	modify		they used sad, others, avoid, and the means of the paranoia and self-esteem items	yes
29	Drukker	2020	https://doi.org/10.1016/j.jpsychores.2020.110261	24	70	7	10	10x/day random schedule	individuals with IBS and panic disorder	irritable bowel syndrome, panic disorder, gastrointestinal symptoms, childhood trauma	https://www.sciencedirect.com/science/article/pii/S0022399920308230?via%3Dihub#s0120	mlVAR	enthusiastic, down, irritated, rushed, happy, cheerful, phy_bloating, phy_abd	modify		they used two variables not available here (nausea and lonely), and they included beep as a detrending variable within the model	yes
31	Koval	2013	http://doi.org/10.1037/a0033579	95	70	7	10	10x/day stratified random interval	undergraduate students	well-being, affect, depression, affect dynamics	-						
32	Grommisch	2020	https://doi.org/10.1037/emo0000669	179	189	21	9	9x/day semi-fixed intervals	adults	emotion regulation, rumination, well-being	https://osf.io/b5s97	mlVAR	happy, relaxed, sad, angry	modify		used in Ernst & Haslbeck (2026) as VAR model. The original paper used latent profile analysis	yes
33	Fisher	2017	https://doi.org/10.1037/abn0000311	40	212	55	4	4x/day fixed schedule	participants with a diagnosis of MDD and/or GAD	mood, anxiety, procrastination, depression	https://osf.io/h93f4	dynamic FA	energetic, enthusiastic, content, positive, down, anhedonia, hopeless, guilty, rumination, worried, afraid, restless, irritable, angry, muscle_tension, fatigue, difficulty_concentrating, reassure, avoid_activity, avoid_people, procrastination	yes			yes
34	Reeves	2020	https://doi.org/10.1002/jts.22491	20	168	43	4	4x/day fixed schedule	participants with PTSD	PTSD, emotions, sleep, physical symptoms	https://osf.io/juksb	dynamic FA	intrusions, unpleasant_dreams, reliving, upset, physical_reactions, avoidance, avoid_places, amnesia, neg_thoughts_self, self_blame, neg_thoughts_world, anhedonia, distant, difficulty_positive, aggressive, reckless, hypervigilant, startled, difficulty_concentrating, sleep_troubles	modify		unclear how they combined self_blame and others_blame, and neg_thoughts_others and neg_thoughts_world, and restless_sleep and sleep_troubles - probably aggregated them	yes
35	Soyster	2022	https://doi.org/10.1037/adb0000666	33	129	15	8	8x/day semi-random schedule	adult alcohol consumers	alcohol consumption, craving, affect, context	-	machine learning		no		they predicted alcohol-related variables with a large feature set and feature selection strategies	yes
36	Bosley	2019	https://doi.org/10.31234/osf.io/bhn7y	96	45	19	4	4x/day 30-minute interval	undergraduate students with elevated GAD symptoms	GAD, affect, dampening	-	DSEM		modify. They used sum scores for worry, dampening, and positive affect		lag-VAR within LISREL	yes
37	Fisher	2019	https://doi.org/10.31234/osf.io/e24v6	70	128	34	4	4x/day random schedule	regular smokers	Smoking, affect, substance abuse	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0217150#sec004	machine learning		no		used naive bayes and elastic net with many features to predict smoking behavior	yes
39	Kuczynski	2021	https://doi.org/10.1177/02654075211045717	515	75	75	1	1x/day in the evening	adults	loneliness, depression, affect, social interaction	-	mixed effects		unclear		they predicted depressed mood and loneliness with some time effects, social interactions, self-disclosure, responsiveness, anxiety, and autoregressive effect. Could fit as a VAR model as well, but they did not do that	yes
40	Nepal	2024	https://doi.org/10.1145/3643501	218	441	441	1	irregular	undergraduate students	mental health, resilience, behavior, COVID, anxiety, depression, social media	https://www.kaggle.com/datasets/subigyanepal/college-experience-dataset/data	regression		no		mostly group comparisons or COVID effects  	yes
41	Wright	2019	https://doi.org/10.1037/pas0000617	94	100	100	1	1x/day in the evening	individuals with personality disorder diagnosis	personality disorder, interpersonal behavior, stress, affect, functioning	-	GIMME	dominance, affiliation, pa, na, stressed	yes			yes
42	Mostajabi	2024	https://doi.org/10.31219/osf.io/3szng	342	70	10	7	random momentary prompts and scheduled daily diary	community participants (excluding undergraduates)	personality, affect, personality disorder, interpersonal	https://osf.io/dcfb5/files/agmcx	regression		unclear		predicted PA, NA, and characteristics of social interactions with personality states and traits. In the second reference (Vize et al.), they used mlSEM for lagged moderation and mediation analyse	yes
43	Mostajabi	2024	https://doi.org/10.31219/osf.io/3szng	330	50	10	5	random momentary prompts and scheduled daily diary	college students	personality, affect, personality disorder, interpersonal	https://osf.io/dcfb5/files/agmcx	regression		unclear		predicted PA, NA, and characteristics of social interactions with personality states and traits. In the second reference (Vize et al.), they used mlSEM for lagged moderation and mediation analyse	yes
44	Mostajabi	2024	https://doi.org/10.31219/osf.io/3szng	396	42	7	6	unclear	college students	personality, affect, personality disorder, interpersonal	https://osf.io/dcfb5/files/agmcx	regression		unclear		predicted PA, NA, and characteristics of social interactions with personality states and traits. I could also check the previous publications that used this dataset in OSF to see if someone used dynamic modeling	yes
45	Kullar	2023	https://doi.org/10.1037/emo0001245	105	70	14	5	5x/day fixed 30-minute interval	participants with and without mood disorders	affect, affective chronometry, mood disorders, mind wandering	-	GIMME	happy, angry, enthusiastic, relaxed, sad, nervous, stressed, mind_wandering, emotion_chronometry	yes		they also used time of day within the model	yes
46	Ringwald	2024	https://doi.org/10.31234/osf.io/g7n4a_v3	526	145	15	event-contingent	event-contingent based on social interactions	adults (18-50)	empathy, affect, interpersonal, congruence, social perception	NA	multi-level response surface analysis		no			yes
49	Pronizius	2024	https://doi.org/10.1038/s41598-024-75261-z	803	35	7	5	4x semi-random, 1 prompt user-initiated before sleep	adults experiencing COVID lockdown	helping, mood, prosocial behavior, stress, COVID	https://osf.io/4tpvd	mixed effects		unclear		predicted helping or helping effort with lagged stress or mood valence	yes
50	Pronizius	2024	https://doi.org/10.1038/s41598-024-75261-z	303	35	7	5	4x semi-random, 1 prompt user-initiated before sleep	adults experiencing COVID lockdown	helping, mood, prosocial behavior, stress, COVID	https://osf.io/4tpvd	mixed effects		unclear		predicted helping or helping effort with lagged stress or mood valence	yes
51	Johannes	2021	https://doi.org/10.1080/15213269.2020.1768122	75	40	5	8	8x semi-random with at least 45 minutes between surveys	Dutch undergraduate students using social media	online vigilance, affect, wellbeing, smartphone, social interactions	https://osf.io/xf2pq/	mixed effects		unclear		predicted affective wellbeing from salience, behavioral reacibility and behavioral monitoring. Also had some interaction models in there	yes
52	Marian	2022	https://doi.org/10.1007/s10862-022-10014-8	140	63	21	3	4x/day 4 hour intervals based on individual wake-up time	undergraduate students	depression, anxiety, COVID	https://osf.io/r85q6	mlVAR	worry, difficulty_control_worry, restless, irritable, muscle_tension, anhedonia, depressed, appetite_change, worthlessness, psychomotor_change, fatiguability, difficulty_concentrating, suicidal_ideation	yes			yes
53	Stevens	2020	https://doi.org/10.1016/j.bodyim.2020.09.003	133	42	7	6	6x/day semi-random intervals with anchor times and 40 minute period around them	undergraduate students	body positivity, social media, affect, body satisfaction, fitspiration	NA	mixed effects		unclear		used exposure to certain content to predict body satisfaction, NA, PA	yes
54	Tammilehto	2022	https://doi.org/10.1080/02699931.2022.2081534	122	49	7	7	7x/day semi-random intervals, scheduled in blocks	undergraduate students	emotion regulation, attachment, neuroticism	https://osf.io/u59nd/files/	DSEM		unclear		they used different DSEM models, where multiple lagged predictors predicted either ER strategy or State attachment	yes
55	Wang	2024	https://doi.org/10.1111/famp.12995	78	147	21	7	6x/day EMA, 1x/day daily diary, morning survey at self-chosen time, other surveys randomly with certain interval, daily diary at 6:30pm	young adults (18-25)	family conflict, social interactions, affect, emotion, sadness	NA	mlVAR	sad, anxious, angry, family_conflict	yes			yes
